Name,Type,County,Population2010,LandArea_SqMi,km2,Incorporated,Unknown
Denair,,Stanislaus,,,,,
Farmington,,Stanislaus,,,,,
Kights Ferry,,Stanislaus,,,,,
Tracy,,Stanislaus,,,,,
Valley Home,,Stanislaus,,,,,
Vernalis,,Stanislaus,,,,,
Westley,,Stanislaus,,,,,
East Nicolaus,,Sutter,,,,,
Kights Landing,,Sutter,,,,,
Meridian,,Sutter,,,,,
Nicolaus,,Sutter,,,,,
Pleasant Grove,,Sutter,,,,,
Rio Oso,,Sutter,,,,,
Robbins,,Sutter,,,,,
Sutter,,Sutter,,,,,
Cottonwood,,Tehama,,,,,
Flournoy,,Tehama,,,,,
Gerber,,Tehama,,,,,
Los Molinos,,Tehama,,,,,
Manton,,Tehama,,,,,
Mill Creek,,Tehama,,,,,
Mineral,,Tehama,,,,,
Paskenta,,Tehama,,,,,
Paynes Creek,,Tehama,,,,,
Proberta,,Tehama,,,,,
Vina,,Tehama,,,,,
Brooks,,Yolo,,,,,
Capay,,Yolo,,,,,
Clarksburg,,Yolo,,,,,
Dunnigan,,Yolo,,,,,
El Macero,,Yolo,,,,,
Esparto,,Yolo,,,,,
Guinda,,Yolo,,,,,
Knights Landing,,Yolo,,,,,
Madison,,Yolo,,,,,
Rumsey,,Yolo,,,,,
Yolo,,Yolo,,,,,
Zamora,,Yolo,,,,,
Beale Afb,,Yuba,,,,,
Browns Valley,,Yuba,,,,,
Brownsville,,Yuba,,,,,
Camptonville,,Yuba,,,,,
Challenge,,Yuba,,,,,
Dobbins,,Yuba,,,,,
Linda,,Yuba,,,,,
Loma Rica,,Yuba,,,,,
Olivehurst,,Yuba,,,,,
Oregon House,,Yuba,,,,,
Plumas Lake,,Yuba,,,,,
Rackerby,,Yuba,,,,,
Smartsville,,Yuba,,,,,
Amboy,,San Bernardino,,,,,
Big Bar,,Trinity,,,,,
Burnt Ranch,,Trinity,,,,,
Douglas City,,Trinity,,,,,
Hayfork,,Trinity,,,,,
Hyampom,,Trinity,,,,,
Junction City,,Trinity,,,,,
Lewiston,,Trinity,,,,,
Mad River,,Trinity,,,,,
Salyer,,Trinity,,,,,
Trinity Center,,Trinity,,,,,
Weaverville,,Trinity,,,,,
Zenia,,Trinity,,,,,
