Name,Type,County,Population2010,LandArea_SqMi,km2,Incorporated,Unknown
Ferndale,City,Humboldt,"1,371",1.03,2.7,"August 28, 1893",139
Firebaugh,City,Fresno,"7,549",3.46,9,17-Sep-14,141
Folsom,City,Sacramento,"72,203",21.95,56.9,20-Apr-46,142
Fort Bragg,City,Mendocino,"7,273",2.75,7.1,"August 5, 1889",144
Fortuna,City,Humboldt,"11,926",4.85,12.6,20-Jan-06,146
Foster City,City,San Mateo,"30,567",3.76,9.7,27-Apr-71,147
Fowler,City,Fresno,"5,570",2.53,6.6,15-Jun-08,149
Fremont,City,Alameda,"214,089",77.46,200.6,23-Jan-56,150
Fresno,City,Fresno,"494,665",111.96,290,"October 12, 1885",151
Galt,City,Sacramento,"23,647",5.93,15.4,16-Aug-46,153
Gilroy,City,Santa Clara,"48,821",16.15,41.8,"March 12, 1870",156
Gonzales,City,Monterey,"8,187",1.92,5,14-Jan-47,160
Grass Valley,City,Nevada,"12,860",4.74,12.3,"March 13, 1893",162
Greenfield,City,Monterey,"16,330",2.14,5.5,7-Jan-47,163
Gridley,City,Butte,"6,584",2.07,5.4,23-Nov-05,164
Grover Beach,City,San Luis Obispo,"13,156",2.31,6,21-Dec-59,165
Gustine,City,Merced,"5,520",1.55,4,11-Nov-15,167
Half Moon Bay,City,San Mateo,"11,324",6.42,16.6,15-Jul-59,168
Hayward,City,Alameda,"144,186",45.32,117.4,"March 11, 1876",172
Healdsburg,City,Sonoma,"11,254",4.46,11.6,"February 20, 1867",173
Hercules,City,Contra Costa,"24,060",6.21,16.1,15-Dec-00,175
Hillsborough,Town,San Mateo,"10,825",6.19,16,5-May-10,180
Hollister,City,San Benito,"34,928",7.29,18.9,"March 26, 1872",181
Huron,City,Fresno,"6,754",1.59,4.1,3-May-51,186
Ione,City,Amador,"7,918",4.76,12.3,23-Mar-53,193
Isleton,City,Sacramento,804,0.44,1.1,14-May-23,196
Jackson,City,Amador,"4,651",3.73,9.7,5-Dec-05,197
Kerman,City,Fresno,"13,544",3.23,8.4,2-Jul-46,199
King City,City,Monterey,"12,874",3.84,9.9,9-Feb-11,200
Kingsburg,City,Fresno,"11,382",2.83,7.3,29-May-08,201
Lafayette,City,Contra Costa,"23,893",15.22,39.4,29-Jul-68,211
Lakeport,City,Lake,"4,753",3.06,7.9,"April 30, 1888",218
Larkspur,City,Marin,"11,926",3.03,7.8,1-Mar-08,221
Lathrop,City,San Joaquin,"18,023",21.93,56.8,1-Jul-89,222
Lincoln,City,Placer,"42,819",20.11,52.1,"August 7, 1890",226
Live Oak,City,Sutter,"8,392",1.87,4.8,22-Jan-47,228
Livermore,City,Alameda,"80,968",25.17,65.2,"April 1, 1876",229
Livingston,City,Merced,"13,058",3.72,9.6,11-Sep-22,230
Lodi,City,San Joaquin,"62,134",13.61,35.2,6-Dec-06,231
Loomis,Town,Placer,"6,430",7.27,18.8,17-Dec-84,236
Los Altos,City,Santa Clara,"28,976",6.49,16.8,1-Dec-52,238
Los Altos Hills,Town,Santa Clara,"7,922",8.8,22.8,27-Jan-56,239
Los Banos,City,Merced,"35,972",9.99,25.9,8-May-07,241
Los Gatos,Town,Santa Clara,"29,413",11.08,28.7,"August 10, 1887",242
Madera,City,Madera,"61,416",15.79,40.9,27-Mar-07,245
Manteca,City,San Joaquin,"67,096",17.73,45.9,5-Jun-18,249
Maricopa,City,Kern,"1,154",1.5,3.9,25-Jul-11,250
Marina,City,Monterey,"19,718",8.88,23,13-Nov-75,251
Martinez,City,Contra Costa,"35,824",12.13,31.4,"April 1, 1876",252
Marysville,City,Yuba,"12,072",3.46,9,"February 5, 1851",253
Mendota,City,Fresno,"11,014",3.28,8.5,17-Jun-42,256
Menlo Park,City,San Mateo,"32,026",9.79,25.4,23-Nov-27,258
Merced,City,Merced,"78,958",23.32,60.4,"April 1, 1889",259
Mill Valley,City,Marin,"13,903",4.76,12.3,1-Sep-00,260
Millbrae,City,San Mateo,"21,532",3.25,8.4,14-Jan-48,261
Milpitas,City,Santa Clara,"66,790",13.59,35.2,26-Jan-54,262
Modesto,City,Stanislaus,"201,165",36.87,95.5,"August 6, 1884",264
Monte Sereno,City,Santa Clara,"3,341",1.62,4.2,14-May-57,268
Monterey,City,Monterey,"27,810",8.47,21.9,"June 14, 1890",270
Moraga,Town,Contra Costa,"16,016",9.43,24.4,13-Nov-74,273
Morgan Hill,City,Santa Clara,"37,882",12.88,33.4,10-Nov-06,275
Morro Bay,City,San Luis Obispo,"10,234",5.3,13.7,17-Jul-64,276
Mountain View,City,Santa Clara,"74,066",12,31.1,7-Nov-02,278
Napa,City,Napa,"76,915",17.84,46.2,"March 23, 1872",280
Needles,City,San Bernardino,"4,844",30.81,79.8,30-Oct-13,282
Nevada City,City,Nevada,"3,068",2.19,5.7,"April 19, 1856",283
Newark,City,Alameda,"42,573",13.87,35.9,22-Sep-55,284
Newman,City,Stanislaus,"10,224",2.1,5.4,10-Jun-08,285
Novato,City,Marin,"51,904",27.44,71.1,20-Jan-60,289
Oakdale,City,Stanislaus,"20,675",6.04,15.6,24-Nov-06,290
Oakland,City,Alameda,"390,724",55.79,144.5,"May 4, 1852",291
Oakley,City,Contra Costa,"35,432",15.85,41.1,1-Jul-99,292
Orange Cove,City,Fresno,"9,078",1.91,4.9,20-Jan-48,297
Orinda,City,Contra Costa,"17,643",12.68,32.8,1-Jul-85,298
Orland,City,Glenn,"7,291",2.97,7.7,11-Nov-09,299
Oroville,City,Butte,"15,546",12.99,33.6,3-Jan-06,300
Pacific Grove,City,Monterey,"15,041",2.86,7.4,"July 5, 1889",302
Pacifica,City,San Mateo,"37,234",12.66,32.8,22-Nov-57,303
Paradise,Town,Butte,"26,218",18.31,47.4,27-Nov-79,309
Parlier,City,Fresno,"14,494",2.19,5.7,15-Nov-21,311
Paso Robles,City,San Luis Obispo,"29,793",19.12,49.5,"March 11, 1889",313
Patterson,City,Stanislaus,"20,413",5.95,15.4,22-Dec-19,314
Petaluma,City,Sonoma,"57,941",14.38,37.2,"April 12, 1858",316
Piedmont,City,Alameda,"10,667",1.68,4.4,31-Jan-07,318
Pinole,City,Contra Costa,"18,390",5.32,13.8,25-Jun-03,319
Pismo Beach,City,San Luis Obispo,"7,655",3.6,9.3,25-Apr-46,320
Pittsburg,City,Contra Costa,"63,264",17.22,44.6,25-Jun-03,321
Placerville,City,El Dorado,"10,389",5.81,15,"May 13, 1854",323
Pleasant Hill,City,Contra Costa,"33,152",7.07,18.3,14-Nov-61,324
Pleasanton,City,Alameda,"70,285",24.11,62.4,"June 18, 1894",325
Plymouth,City,Amador,"1,005",0.93,2.4,8-Feb-17,326
Point Arena,City,Mendocino,449,1.35,3.5,11-Jul-08,327
Portola Valley,Town,San Mateo,"4,353",9.09,23.5,14-Jul-64,332
Rancho Cordova,City,Sacramento,"64,776",33.51,86.8,1-Jul-03,334
Red Bluff,City,Tehama,"14,076",7.56,19.6,"March 31, 1876",339
Redding,City,Shasta,"89,861",59.65,154.5,"October 4, 1887",340
Redwood City,City,San Mateo,"76,815",19.42,50.3,"May 11, 1867",343
Reedley,City,Fresno,"24,194",5.08,13.2,18-Feb-13,344
Richmond,City,Contra Costa,"103,701",30.07,77.9,7-Aug-05,346
