name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Wilson Lane,residential,False,192.383,,40.2,,17.2,"LINESTRING (616236.6661415437 4399479.472154388, 616238.2361663912 4399287.426540572)"
Roe Road,residential,False,339.28900000000004,,40.2,,30.4,"LINESTRING (616236.6661415437 4399479.472154388, 616245.8249277826 4399480.276903789, 616263.5409827853 4399481.988344022, 616273.3667991562 4399484.02440656, 616279.6826703296 4399485.785294955, 616284.0360667394 4399486.961386327, 616295.0312773688 4399491.013481799, 616306.013027338 4399495.953520793, 616326.8927156348 4399509.480769591, 616337.8273332282 4399517.528601742, 616361.6236326346 4399536.539946537, 616373.892201883 4399547.050410599, 616395.4839511061 4399564.474224874, 616469.5932971237 4399628.544373573, 616478.7449725454 4399635.455208997, 616513.787223929 4399664.518140992)"
Roe Road,residential,False,261.76800000000003,,40.2,,23.4,"LINESTRING (616236.6661415437 4399479.472154388, 616178.2269996749 4399478.476708646, 616116.5232336607 4399477.987419898, 616106.4168081236 4399477.501544748, 616044.9701221087 4399477.016718326, 616035.2921459513 4399476.53741211, 616017.6855834909 4399474.384089841, 616008.1197545882 4399471.020090286, 615978.2224181563 4399456.946762988)"
Kilcrease Circle,residential,False,52.079,,40.2,,4.7,"LINESTRING (620605.1240321707 4404807.191398204, 620552.9266545989 4404807.214076198)"
,residential,False,91.27,,40.2,,8.2,"LINESTRING (620605.1240321707 4404807.191398204, 620589.6811411406 4404734.752337157, 620603.878582691 4404725.205959626)"
Kilcrease Circle,residential,False,340.689,,40.2,,30.5,"LINESTRING (620605.1240321707 4404807.191398204, 620616.7878029365 4404807.330511557, 620652.0606630415 4404809.450991484, 620790.7444459244 4404807.64947219, 620796.61680339 4404800.259274219, 620803.5445083195 4404654.699364856)"
Kilcrease Circle,residential,False,52.079,,40.2,,4.7,"LINESTRING (620552.9266545989 4404807.214076198, 620605.1240321707 4404807.191398204)"
Darren Lane,residential,False,92.054,,40.2,,8.2,"LINESTRING (620552.9266545989 4404807.214076198, 620535.2270859396 4404717.020918021)"
Kilcrease Circle,residential,False,229.23399999999998,,40.2,,20.5,"LINESTRING (620552.9266545989 4404807.214076198, 620516.8386498539 4404803.005170163, 620474.3282641427 4404782.342304157, 620460.2562337785 4404713.066955291, 620495.830698636 4404716.73461067, 620535.2270859396 4404717.020918021)"
Kilcrease Circle,residential,False,35.544,,40.2,,3.2,"LINESTRING (620603.878582691 4404725.205959626, 620569.1412235518 4404717.332218525)"
,residential,False,91.27,,40.2,,8.2,"LINESTRING (620603.878582691 4404725.205959626, 620589.6811411406 4404734.752337157, 620605.1240321707 4404807.191398204)"
Sean Court,residential,False,343.388,,40.2,,30.8,"LINESTRING (620603.878582691 4404725.205959626, 620604.9796048205 4404589.890292952, 620714.1180107933 4404589.054628281, 620711.110308374 4404605.993285901, 620713.7666031661 4404687.523600808)"
Kilcrease Circle,residential,False,34.153999999999996,,40.2,,3.1,"LINESTRING (620603.878582691 4404725.205959626, 620615.3934951959 4404717.393713797, 620635.6885068394 4404717.713071004)"
Kilcrease Circle,residential,False,129.908,,40.2,,11.6,"LINESTRING (620803.5445083195 4404654.699364856, 620933.5117897218 4404646.912215961)"
