y,x,street_count,lon,lat,highway,geometry
4404717.7130710045,620635.6885068394,3,-121.591195,39.783863,,POINT (620635.6885068394 4404717.713071004)
4401986.908260331,621476.2931175367,3,-121.581886,39.759146,,POINT (621476.2931175367 4401986.908260331)
4401984.232391735,621552.681001781,1,-121.580995,39.759111,,POINT (621552.681001781 4401984.232391735)
4402024.166464133,621475.5918201169,3,-121.5818873,39.7594817,,POINT (621475.5918201169 4402024.166464133)
4401938.813524984,621474.8267650255,3,-121.581912,39.758713,,POINT (621474.8267650255 4401938.813524984)
4402965.81788093,621247.8067600034,1,-121.584372,39.767996,,POINT (621247.8067600034 4402965.81788093)
4402829.18945883,621250.1379137925,3,-121.58437,39.766765,,POINT (621250.1379137925 4402829.18945883)
4402828.991741049,621209.5308016327,4,-121.584844,39.766769,,POINT (621209.5308016327 4402828.991741049)
4402826.86507525,621454.0828347877,3,-121.58199,39.766715,,POINT (621454.0828347877 4402826.86507525)
4402588.102114159,620943.7080417906,3,-121.587991,39.764637,,POINT (620943.7080417906 4402588.102114159)
4402584.358845361,620861.1733358232,3,-121.588955,39.764615,,POINT (620861.1733358232 4402584.358845361)
4402602.879130959,621005.6772687101,1,-121.587265,39.7647613,,POINT (621005.6772687101 4402602.879130959)
4402560.878462723,621010.4780826321,1,-121.5872167,39.7643823,,POINT (621010.4780826321 4402560.878462723)
4401960.85580729,618855.9549214218,1,-121.612472,39.759281,,POINT (618855.9549214218 4401960.85580729)
4401985.052457692,618862.7775044565,4,-121.612388,39.759498,,POINT (618862.7775044565 4401985.052457692)
4401985.9928337475,618894.8086003026,3,-121.612014,39.759502,,POINT (618894.8086003026 4401985.992833748)
4401975.537924876,618520.4475577642,3,-121.616385,39.75946,,POINT (618520.4475577642 4401975.537924876)
4402238.223007818,618858.7695293351,3,-121.612389,39.761779,,POINT (618858.7695293351 4402238.223007818)
4404631.848200301,620187.4367050177,1,-121.596444,39.783153,,POINT (620187.4367050177 4404631.848200301)
4404636.166307378,620144.1989883567,3,-121.596948,39.783198,,POINT (620144.1989883567 4404636.166307378)
4404758.388260454,620023.0539292118,3,-121.59834,39.784316,,POINT (620023.0539292118 4404758.388260454)
4404588.513833396,620178.0087765596,1,-121.596562,39.782764,,POINT (620178.0087765596 4404588.513833396)
4404435.647889791,620448.0322943658,3,-121.5934376,39.7813489,,POINT (620448.0322943658 4404435.647889791)
4404505.672313511,620452.5511818241,1,-121.593372,39.781979,,POINT (620452.5511818241 4404505.672313511)
4404438.108602228,620377.8061611375,3,-121.594257,39.781381,,POINT (620377.8061611375 4404438.108602228)
4404387.631371821,620523.5830453817,3,-121.5925644,39.7809057,,POINT (620523.5830453817 4404387.631371821)
4404688.073119901,620966.9530176731,3,-121.587333,39.783549,,POINT (620966.9530176731 4404688.073119901)
4404719.373317275,620952.4117822519,1,-121.587497,39.783833,,POINT (620952.4117822519 4404719.373317275)
4404764.984072272,621021.5856599316,3,-121.586681,39.784234,,POINT (621021.5856599316 4404764.984072272)
4404646.912215961,620933.5117897218,3,-121.587731,39.783183,,POINT (620933.5117897218 4404646.912215961)
4404784.479373036,621025.8175184972,3,-121.586628,39.784409,,POINT (621025.8175184972 4404784.479373036)
4404780.678318557,620974.913586655,3,-121.587223,39.784382,,POINT (620974.913586655 4404780.678318557)
4404854.010438789,621034.9124281573,3,-121.586509,39.785034,,POINT (621034.9124281573 4404854.010438789)
4404774.225535592,620896.6422681129,1,-121.588138,39.784335,,POINT (620896.6422681129 4404774.225535592)
4404735.204478345,620956.6160083486,1,-121.587445,39.783975,,POINT (620956.6160083486 4404735.204478345)
4402775.751264688,622150.414415749,3,-121.573872,39.766155,,POINT (622150.414415749 4402775.751264688)
4402793.392646968,622010.2237180214,3,-121.575505,39.766334,,POINT (622010.2237180214 4402793.392646968)
4402733.26486684,622166.5129017858,1,-121.573692,39.76577,,POINT (622166.5129017858 4402733.26486684)
4402644.177227662,622288.8238073972,3,-121.572281,39.76495,,POINT (622288.8238073972 4402644.177227662)
