name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Skyway,secondary,False,163.583,4,56.3,35 mph,10.5,"LINESTRING (616851.1547927839 4400583.22462719, 616816.4493406521 4400547.037752921, 616807.6580121785 4400539.06617514, 616797.839871418 4400530.99017049, 616777.4998601284 4400516.026477138, 616774.6137931638 4400514.206301213, 616753.9828912378 4400501.458585044, 616741.5767160653 4400494.497867271, 616729.529149956 4400488.186521328, 616721.9430634945 4400484.918285643)"
Skyway,secondary,False,71.258,4,56.3,35 mph,4.6,"LINESTRING (617149.3800172618 4400877.713723256, 617165.4711650504 4400896.954378396, 617194.2966105341 4400933.019876422)"
Skyway,secondary,False,419.12,4,56.3,35 mph,26.8,"LINESTRING (617149.3800172618 4400877.713723256, 617144.6838875012 4400872.102291174, 617133.6586440123 4400858.945020534, 617116.5358717521 4400841.032004016, 617112.262682642 4400836.903574694, 617100.9968261593 4400826.029635872, 617090.1021534493 4400815.5388356, 617081.6700375446 4400806.528838429, 616956.4428466266 4400684.499213835, 616851.1547927839 4400583.22462719)"
Skyway,secondary,False,163.583,4,56.3,35 mph,10.5,"LINESTRING (616721.9430634945 4400484.918285643, 616729.529149956 4400488.186521328, 616741.5767160653 4400494.497867271, 616753.9828912378 4400501.458585044, 616774.6137931638 4400514.206301213, 616777.4998601284 4400516.026477138, 616797.839871418 4400530.99017049, 616807.6580121785 4400539.06617514, 616816.4493406521 4400547.037752921, 616851.1547927839 4400583.22462719)"
Skyway,secondary,False,43.488,4,56.3,35 mph,2.8,"LINESTRING (616721.9430634945 4400484.918285643, 616715.0857119863 4400482.194018845, 616696.2104741961 4400475.712304118, 616688.1036686337 4400473.435337662, 616680.6760877607 4400471.013281068)"
Neal Road,tertiary,False,103.67,2,56.3,35 mph,6.6,"LINESTRING (615581.7107352223 4398930.769400347, 615539.6077778473 4398836.149815196)"
Neal Road,tertiary,False,51.836,2,56.3,35 mph,3.3,"LINESTRING (615581.7107352223 4398930.769400347, 615605.0062699156 4398977.025123219)"
Neal Road,tertiary,False,103.67,2,56.3,35 mph,6.6,"LINESTRING (615539.6077778473 4398836.149815196, 615581.7107352223 4398930.769400347)"
Neal Road,tertiary,False,210.253,2,56.3,35 mph,13.4,"LINESTRING (615539.6077778473 4398836.149815196, 615519.0022985219 4398779.676927584, 615505.0935492783 4398741.278285756, 615497.6021071683 4398720.738710593, 615480.3581310651 4398687.507714224, 615450.3541906439 4398647.7570495)"
Neal Road,tertiary,False,51.836,2,56.3,35 mph,3.3,"LINESTRING (615605.0062699156 4398977.025123219, 615581.7107352223 4398930.769400347)"
Neal Road,tertiary,False,58.882,2,56.3,35 mph,3.8,"LINESTRING (615605.0062699156 4398977.025123219, 615630.2723941262 4399030.149184139)"
Nunneley Road,tertiary,False,96.597,2,53.7,,6.5,"LINESTRING (620373.6011730995 4401610.937256758, 620276.7933163565 4401609.641249471)"
Nunneley Road,tertiary,False,95.064,2,53.7,,6.4,"LINESTRING (620373.6011730995 4401610.937256758, 620414.1219459479 4401611.57302622, 620444.0129691483 4401612.486228638, 620468.8617995695 4401612.543251509)"
Nunneley Road,tertiary,False,96.597,2,53.7,,6.5,"LINESTRING (620276.7933163565 4401609.641249471, 620373.6011730995 4401610.937256758)"
Nunneley Road,tertiary,False,117.90699999999998,2,53.7,,7.9,"LINESTRING (620276.7933163565 4401609.641249471, 620236.7008877026 4401609.012917344, 620211.0723707965 4401609.499525992, 620186.2374683039 4401608.555404685, 620158.6472958875 4401608.456368865)"
Nunneley Road,tertiary,False,28.299,2,53.7,,1.9,"LINESTRING (620468.8617995695 4401612.543251509, 620497.2247475241 4401612.544518651)"
Nunneley Road,tertiary,False,95.064,2,53.7,,6.4,"LINESTRING (620468.8617995695 4401612.543251509, 620444.0129691483 4401612.486228638, 620414.1219459479 4401611.57302622, 620373.6011730995 4401610.937256758)"
Neal Road,tertiary,False,58.882,2,56.3,35 mph,3.8,"LINESTRING (615630.2723941262 4399030.149184139, 615605.0062699156 4398977.025123219)"
Neal Road,tertiary,False,62.571,2,56.3,35 mph,4.0,"LINESTRING (615630.2723941262 4399030.149184139, 615657.0906619729 4399086.616099562)"
Neal Road,tertiary,False,210.253,2,56.3,35 mph,13.4,"LINESTRING (615450.3541906439 4398647.7570495, 615480.3581310651 4398687.507714224, 615497.6021071683 4398720.738710593, 615505.0935492783 4398741.278285756, 615519.0022985219 4398779.676927584, 615539.6077778473 4398836.149815196)"
Nunneley Road,tertiary,False,229.639,2,53.7,,15.4,"LINESTRING (619296.1161184586 4401591.445637262, 619277.9494243229 4401591.496279289, 619247.2034042256 4401590.463318395, 619231.3466879549 4401590.194710435, 619189.5330534785 4401589.500700361, 619166.4309328654 4401588.986465589, 619099.6932161733 4401587.572861685, 619066.0046092159 4401587.316491003)"
Nunneley Road,tertiary,False,136.697,2,53.7,,9.2,"LINESTRING (619296.1161184586 4401591.445637262, 619318.4718947072 4401592.01526831, 619369.5418354056 4401592.032434249, 619433.1002502005 4401593.465512119)"
Nunneley Road,tertiary,False,115.89599999999999,2,53.7,,7.8,"LINESTRING (619066.0046092159 4401587.316491003, 619027.647856019 4401586.388356674, 618999.8701800938 4401585.679978668, 618949.8823535854 4401584.405337807)"
